taskSetId	size	machines	setupType	windowLevel	rate	discountStrength	breakpoint1	breakpoint2	quotationTotal	experimentType	sourceInstance	instance
n020-set01	20	2	random	zero	0.500000	0.150000	4000.000000000	8000.000000000	3499.000000000	default-discount	data/n020-set01/random/base/zero/m2.dat	outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/zero/m2.dat
n020-set01	20	2	random	zero	1.000000	0.150000	4000.000000000	8000.000000000	6998.000000000	default-discount	data/n020-set01/random/base/zero/m2.dat	outsourcing-data/default-discount/rate-1/n020-set01/random/base/zero/m2.dat
n020-set01	20	2	random	zero	2.000000	0.150000	4000.000000000	8000.000000000	13996.000000000	default-discount	data/n020-set01/random/base/zero/m2.dat	outsourcing-data/default-discount/rate-2/n020-set01/random/base/zero/m2.dat
n020-set01	20	3	random	zero	0.500000	0.150000	4000.000000000	8000.000000000	3499.000000000	default-discount	data/n020-set01/random/base/zero/m3.dat	outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/zero/m3.dat
n020-set01	20	3	random	zero	1.000000	0.150000	4000.000000000	8000.000000000	6998.000000000	default-discount	data/n020-set01/random/base/zero/m3.dat	outsourcing-data/default-discount/rate-1/n020-set01/random/base/zero/m3.dat
n020-set01	20	3	random	zero	2.000000	0.150000	4000.000000000	8000.000000000	13996.000000000	default-discount	data/n020-set01/random/base/zero/m3.dat	outsourcing-data/default-discount/rate-2/n020-set01/random/base/zero/m3.dat
n020-set01	20	4	random	zero	0.500000	0.150000	4000.000000000	8000.000000000	3499.000000000	default-discount	data/n020-set01/random/base/zero/m4.dat	outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/zero/m4.dat
n020-set01	20	4	random	zero	1.000000	0.150000	4000.000000000	8000.000000000	6998.000000000	default-discount	data/n020-set01/random/base/zero/m4.dat	outsourcing-data/default-discount/rate-1/n020-set01/random/base/zero/m4.dat
n020-set01	20	4	random	zero	2.000000	0.150000	4000.000000000	8000.000000000	13996.000000000	default-discount	data/n020-set01/random/base/zero/m4.dat	outsourcing-data/default-discount/rate-2/n020-set01/random/base/zero/m4.dat
n020-set01	20	2	random	narrow	0.500000	0.150000	4000.000000000	8000.000000000	3499.000000000	default-discount	data/n020-set01/random/base/narrow/m2.dat	outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/narrow/m2.dat
n020-set01	20	2	random	narrow	1.000000	0.150000	4000.000000000	8000.000000000	6998.000000000	default-discount	data/n020-set01/random/base/narrow/m2.dat	outsourcing-data/default-discount/rate-1/n020-set01/random/base/narrow/m2.dat
n020-set01	20	2	random	narrow	2.000000	0.150000	4000.000000000	8000.000000000	13996.000000000	default-discount	data/n020-set01/random/base/narrow/m2.dat	outsourcing-data/default-discount/rate-2/n020-set01/random/base/narrow/m2.dat
n020-set01	20	3	random	narrow	0.500000	0.150000	4000.000000000	8000.000000000	3499.000000000	default-discount	data/n020-set01/random/base/narrow/m3.dat	outsourcing-data/default-discount/rate-0.5/n020-set01/random/base/narrow/m3.dat
