runId	mainClass	args	outputDir	dependsOn	block	action	taskSetId	size	machines	setupType	scaleLevel	windowLevel	algorithm	outsourcingModel	outsourcingRate	discountLevel
seed-n020-set01-m2-random-base-n1-wzero	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n020-set01-m2-random-base-n1-wzero" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m2.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m2-random-base-n1-wzero.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n020-set01-m2-random-base-n1-wzero"	${WORKSPACE}/experiment-suite/formal/runs/seed-n020-set01-m2-random-base-n1-wzero		seed	seed	n020-set01	20	2	random	base	zero				not-applicable
pricing-n020-set01-m2-random-base-n1-wzero-ng_dssr	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m2-random-base-n1-wzero-ng_dssr" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m2.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m2-random-base-n1-wzero-ng_dssr" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m2-random-base-n1-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m2-random-base-n1-wzero-ng_dssr	seed-n020-set01-m2-random-base-n1-wzero	pricing-comparison	solve	n020-set01	20	2	random	base	zero	NG_DSSR			not-applicable
pricing-n020-set01-m2-random-base-n1-wzero-time_indexed	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m2-random-base-n1-wzero-time_indexed" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m2.dat" --algorithm="TIME_INDEXED" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m2-random-base-n1-wzero-time_indexed" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m2-random-base-n1-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m2-random-base-n1-wzero-time_indexed	seed-n020-set01-m2-random-base-n1-wzero	pricing-comparison	solve	n020-set01	20	2	random	base	zero	TIME_INDEXED			not-applicable
pricing-n020-set01-m2-random-base-n1-wzero-time_indexed_sri	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m2-random-base-n1-wzero-time_indexed_sri" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m2.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m2-random-base-n1-wzero-time_indexed_sri" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m2-random-base-n1-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m2-random-base-n1-wzero-time_indexed_sri	seed-n020-set01-m2-random-base-n1-wzero	pricing-comparison	solve	n020-set01	20	2	random	base	zero	TIME_INDEXED_SRI			not-applicable
seed-n020-set01-m3-random-base-n1-wzero	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n020-set01-m3-random-base-n1-wzero" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m3.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m3-random-base-n1-wzero.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n020-set01-m3-random-base-n1-wzero"	${WORKSPACE}/experiment-suite/formal/runs/seed-n020-set01-m3-random-base-n1-wzero		seed	seed	n020-set01	20	3	random	base	zero				not-applicable
pricing-n020-set01-m3-random-base-n1-wzero-ng_dssr	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m3-random-base-n1-wzero-ng_dssr" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m3.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m3-random-base-n1-wzero-ng_dssr" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m3-random-base-n1-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m3-random-base-n1-wzero-ng_dssr	seed-n020-set01-m3-random-base-n1-wzero	pricing-comparison	solve	n020-set01	20	3	random	base	zero	NG_DSSR			not-applicable
pricing-n020-set01-m3-random-base-n1-wzero-time_indexed	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m3-random-base-n1-wzero-time_indexed" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m3.dat" --algorithm="TIME_INDEXED" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m3-random-base-n1-wzero-time_indexed" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m3-random-base-n1-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m3-random-base-n1-wzero-time_indexed	seed-n020-set01-m3-random-base-n1-wzero	pricing-comparison	solve	n020-set01	20	3	random	base	zero	TIME_INDEXED			not-applicable
pricing-n020-set01-m3-random-base-n1-wzero-time_indexed_sri	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m3-random-base-n1-wzero-time_indexed_sri" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m3.dat" --algorithm="TIME_INDEXED_SRI" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m3-random-base-n1-wzero-time_indexed_sri" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m3-random-base-n1-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m3-random-base-n1-wzero-time_indexed_sri	seed-n020-set01-m3-random-base-n1-wzero	pricing-comparison	solve	n020-set01	20	3	random	base	zero	TIME_INDEXED_SRI			not-applicable
seed-n020-set01-m4-random-base-n1-wzero	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n020-set01-m4-random-base-n1-wzero" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m4.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m4-random-base-n1-wzero.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n020-set01-m4-random-base-n1-wzero"	${WORKSPACE}/experiment-suite/formal/runs/seed-n020-set01-m4-random-base-n1-wzero		seed	seed	n020-set01	20	4	random	base	zero				not-applicable
pricing-n020-set01-m4-random-base-n1-wzero-ng_dssr	Common.formal.FormalExperimentRunner	--action="solve" --runId="pricing-n020-set01-m4-random-base-n1-wzero-ng_dssr" --instance="${WORKSPACE}/experiment-suite/formal/instances/data/n020-set01/random/base/zero/m4.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m4-random-base-n1-wzero-ng_dssr" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n020-set01-m4-random-base-n1-wzero.seed" --timeLimitSeconds="10800" --maxNodes="100000"	${WORKSPACE}/experiment-suite/formal/runs/pricing-comparison/pricing-n020-set01-m4-random-base-n1-wzero-ng_dssr	seed-n020-set01-m4-random-base-n1-wzero	pricing-comparison	solve	n020-set01	20	4	random	base	zero	NG_DSSR			not-applicable
